pitcher,player_name,Pitches,Whiff,xWhiff,In_Whiff,IZ.Pitches,IZ.Swing,IZ.xSwing,IZ,OOZ.Pitches,OOZ.Swing,OOZ.xSwing,OOZ,xwOBA,wOBA,In_wOBA,Command,S_ERA
606996,Kyle Hart,304,0.10855,0.11634,-0.006505342,135,0.65926,0.63144,0.01093014,134,0.16418,0.2796,-0.048261225,0.3353,0.5456,0.024368301,1.678121146,5.6349
607067,Colin Rea,284,0.05986,0.09819,-0.029302223,163,0.65031,0.66856,-0.011269792,62,0.20968,0.26962,-0.018291438,0.3498,0.3284,-0.001351302,-3.993878382,5.0308
607074,Carlos Rodon,183,0.08197,0.1139,-0.013736353,98,0.63265,0.68865,-0.021594814,75,0.2,0.27129,-0.012210609,0.3442,0.4033,0.003039541,-2.633470494,4.7423
607179,Jordan Weems,282,0.12057,0.09964,0.016300132,127,0.66929,0.63671,0.022565781,95,0.28421,0.30504,0.003703419,0.325,0.3331,-0.001367023,2.269853376,3.6369
607192,Tyler Glasnow,1808,0.13496,0.1168,0.019879566,906,0.64128,0.6625,-0.028616045,384,0.25781,0.28588,0.006681464,0.3312,0.3083,0.006800547,1.13677957,3.8123
607200,Erick Fedde,1041,0.0586,0.08951,-0.031957156,467,0.65953,0.61442,0.021919947,334,0.22156,0.29526,-0.034507198,0.336,0.3361,-0.010182588,0.453083486,4.4418
607219,Sal Romano,13,0,0.09912,-0.012303801,10,0.6,0.66573,-0.006758577,1,0,0.00087,-0.000751321,0.335,0,-0.004219459,-9.621222011,4.9406
607229,Robert Gsellman,423,0.06383,0.10085,-0.023940268,171,0.68421,0.6521,0.016684452,163,0.22699,0.24001,0.018397679,0.3336,0.4789,0.014002947,-1.519889771,5.6829
607231,John Gant,309,0.12621,0.09027,0.015330347,156,0.60256,0.64367,-0.026993287,80,0.275,0.33598,-0.019006735,0.3343,0.2525,-0.010206432,0.691228197,3.0395
607237,Amir Garrett,397,0.18136,0.12327,0.044919363,166,0.62048,0.64814,-0.01813286,180,0.27778,0.28332,0.021024835,0.3314,0.2728,-6.29E-05,2.231692184,2.8064
607352,Joe Biagini,120,0.09167,0.10301,-0.004450623,47,0.70213,0.69363,0.01417745,47,0.21277,0.28773,-0.013697678,0.3369,0.5296,0.008916205,-2.234104222,5.0249
